id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,LEAID,zip_code,school_type,school_level,charter,school_code,id_support,Tot_salary_exp,Tot_salary_exp_federal
100001600143,0.117962466487936,0.445283018867925,0.346494762288477,42820.0,20.4334554334554,0.0669014084507042,2016-2017,DE,1000016,19804,Regular School,High,Yes,143.0,100001600143,4379137.32,4452911.55
100008000024,0.0639844886088221,0.66276459268762,0.767619047619048,89320.0,19.4981684981685,0.112412177985948,2016-2017,DE,1000080,19709,Regular School,High,No,14.0,100008000014,4404172.76,4404172.76
100008000225,0.0564599930723935,0.701864406779661,0.713090418353576,84140.0,19.5543345543346,0.096816114359974,2016-2017,DE,1000080,19709,Regular School,High,No,14.0,100008000014,4404172.76,4404172.76
100017000029,0.0447385003150599,0.69206204379562,0.64128256513026,56500.0,17.7374847374847,0.296960249415433,2016-2017,DE,1000170,19958,Regular School,High,No,29.0,100017000029,7733506.0,7981481.0
100018000040,0.0770135214579659,0.640060240963855,0.834401709401709,54015.0,18.2454212454212,0.262641138929799,2016-2017,DE,1000180,19934,Regular School,High,No,18.0,100018000018,479380.48,374495.65
100019000050,0.0801201802704056,0.673491975650249,0.483333333333333,50649.0,17.034188034188,0.425117924528302,2016-2017,DE,1000190,19904,Regular School,High,No,11.0,100019000011,1801724.42,2058802.0
100020000238,0.0750577367205543,0.750750750750751,0.5072759338145509,12825.0,18.3870573870574,0.338928340865074,2016-2017,DE,1000200,19711,Regular School,High,No,5.0,100020000005,4519019.6,4551851.62
100020000239,0.0754244364041191,0.616605270614905,0.595445411922304,59861.0,15.5445665445665,0.372116349047141,2016-2017,DE,1000200,19702,Regular School,High,No,5.0,100020000005,4519019.6,4551851.62
100020000240,0.114201183431953,0.594220349187237,0.672058823529412,62078.0,14.980463980464,0.352800953516091,2016-2017,DE,1000200,19713,Regular School,High,No,5.0,100020000005,4519019.6,4551851.62
100023000209,0.0399305555555556,0.54045643153527,0.840810419681621,61031.0,15.1050061050061,0.35893918609968,2016-2017,DE,1000230,19720,Regular School,High,No,118.0,100023000118,7487221.0,7603082.0
100027000080,0.092850049652433,0.552924117931368,0.433151432469304,55347.0,17.8522588522588,0.171474358974359,2016-2017,DE,1000270,19940,Regular School,High,No,78.0,100027000078,2450853.0,2553460.0
100068000085,0.107710189848896,0.465486725663717,0.513728323699422,46644.0,18.008547008547,0.304395604395604,2016-2017,DE,1000680,19945,Regular School,High,No,65.0,100068000065,2920004.63,2964962.85
100068000090,0.0533126293995859,0.415671870217325,0.618326693227092,59500.0,16.0720390720391,0.447068403908795,2016-2017,DE,1000680,19947,Regular School,High,No,65.0,100068000065,2920004.63,2964962.85
100079000095,0.139567835635848,0.53248136315229,0.508990318118949,40625.0,17.1782661782662,0.389887640449438,2016-2017,DE,1000790,19943,Regular School,High,No,77.0,100079000077,3998430.0,4085590.0
100081000100,0.0787576261785912,0.431226765799257,0.463045414069457,39428.0,16.1648351648352,0.465553235908142,2016-2017,DE,1000810,19956,Regular School,High,No,100.0,100081000100,2448084.59,2477589.91
100108000111,0.0931768158473955,0.303550295857988,0.689839572192513,37917.0,17.2905982905983,0.354623450905624,2016-2017,DE,1001080,19963,Regular School,High,No,2.0,100108000002,2731028.42,2786171.42
100124000242,0.0617283950617284,0.856205250596659,0.96078431372549,105708.0,17.969474969475,0.299447513812155,2016-2017,DE,1001240,19803,Regular School,High,No,9.0,100124000009,5215377.59,5218430.09
100124000246,0.0339188370684434,0.788472964943553,0.692429022082019,102383.0,18.3137973137973,0.283914728682171,2016-2017,DE,1001240,19809,Regular School,High,No,9.0,100124000009,5215377.59,5218430.09
